date,solar,wind_onshore,wind_offshore
2015-06-25,175959,40345,2341
2015-06-26,157911,28890,2976
2015-06-27,112503,159001,7766
2015-06-28,186138,51531,11869
2015-06-29,182150,47612,4879
2015-06-30,207982,44756,2474
2015-07-01,217832,130039,28782
2015-07-02,212962,183815,34974
2015-07-03,189464,66680,4954
2015-07-04,196262,73117,9773
2015-07-05,174593,89161,8363
2015-07-06,190646,148364,24939
2015-07-07,184436,102877,17593
2015-07-08,127195,373024,45879
2015-07-09,137695,369418,49305
2015-07-10,200968,198611,19177
2015-07-11,193951,44142,5878
2015-07-12,140937,104768,12105
2015-07-13,75684,110397,2174
2015-07-14,108585,113350,2578
2015-07-15,162621,43307,6861
2015-07-16,183514,34674,8282
2015-07-17,168475,148444,39067
2015-07-18,148598,123925,26658
2015-07-19,108779,129031,18571
2015-07-20,145536,101481,15065
2015-07-21,172691,161050,36291
2015-07-22,165599,73292,13801
2015-07-23,132930,65066,9776
2015-07-24,169178,94801,14078
2015-07-25,135592,424367,37606
2015-07-26,177348,215969,25149
2015-07-27,113896,264479,26507
2015-07-28,123037,389526,37814
2015-07-29,118724,352203,49384
2015-07-30,151513,318673,52213
2015-07-31,188270,103681,23984
2015-08-01,157700,56736,4440
2015-08-02,183835,42605,4260
2015-08-03,203407,104974,22892
2015-08-04,139900,148114,14774
2015-08-05,194809,57658,11031
2015-08-06,190601,77607,17081
2015-08-07,176366,70614,2501
2015-08-08,157084,118683,7751
2015-08-09,171796,67442,2887
2015-08-10,149191,74598,2607
2015-08-11,166507,75781,4092
2015-08-12,154924,70459,7373
2015-08-13,182841,175193,35589
2015-08-14,146497,157441,30890
2015-08-15,121588,57007,8656
2015-08-16,56385,77768,20843
2015-08-17,49826,117589,24909
2015-08-18,94327,82119,22738
2015-08-19,104522,26091,6921
2015-08-20,123531,26177,4367
2015-08-21,173468,45713,9487
2015-08-22,186346,105761,24001
2015-08-23,171318,251248,49418
2015-08-24,120086,226731,31737
2015-08-25,127302,344082,51533
2015-08-26,180244,236889,51983
2015-08-27,119737,178833,40158
2015-08-28,107130,63282,23337
2015-08-29,172192,28314,11259
2015-08-30,162397,40930,6255
2015-08-31,166718,84347,16992
2015-09-01,94596,173412,47909
2015-09-02,120104,130051,54884
2015-09-03,91535,61956,51357
2015-09-04,123201,205407,35354
2015-09-05,95645,400657,46201
2015-09-06,97600,440667,40413
2015-09-07,89035,126110,21213
2015-09-08,117964,68816,9848
2015-09-09,142309,90497,5421
2015-09-10,141593,132786,19294
2015-09-11,138018,112140,30398
2015-09-12,131438,120983,27817
2015-09-13,96790,119039,18841
2015-09-14,70733,202785,26233
2015-09-15,95003,299222,53193
2015-09-16,70323,281934,37890
2015-09-17,76106,385485,52591
2015-09-18,111529,157420,22728
2015-09-19,105754,72379,13101
2015-09-20,90976,142901,23930
2015-09-21,133641,74869,21650
2015-09-22,66471,147685,23460
2015-09-23,64206,76422,2862
2015-09-24,99774,158351,37027
2015-09-25,104588,54257,22872
2015-09-26,94860,61472,6596
2015-09-27,130185,84884,6636
2015-09-28,130786,88458,2225
2015-09-29,142000,168026,2251
2015-09-30,159770,140372,2275
2015-10-01,169808,97866,4461
2015-10-02,160640,76055,5174
2015-10-03,134111,51641,6482
2015-10-04,72106,48644,6328
2015-10-05,101552,112666,28041
2015-10-06,56156,229723,59399
2015-10-07,37457,157906,38233
2015-10-08,44709,36847,14007
2015-10-09,60436,43831,6935
2015-10-10,72661,168700,29603
2015-10-11,111138,267209,57595
2015-10-12,119868,168069,47888
2015-10-13,44311,83728,43317
2015-10-14,22927,75809,56860
2015-10-15,13683,117633,57365
2015-10-16,16655,32586,52926
2015-10-17,30162,10272,14911
2015-10-18,29223,18937,12919
2015-10-19,37180,16668,4103
2015-10-20,35198,26515,2109
2015-10-21,42148,87552,42399
2015-10-22,36772,207672,54951
2015-10-23,62100,139941,29742
2015-10-24,65286,99511,42363
2015-10-25,40375,82713,24817
2015-10-26,77658,119540,22547
2015-10-27,64450,136509,26204
2015-10-28,50587,124888,37501
2015-10-29,30311,25205,5768
2015-10-30,34647,67385,23754
2015-10-31,72032,158281,29723
2015-11-01,87094,75288,2650
2015-11-02,80939,33662,2875
2015-11-03,79489,23612,4083
2015-11-04,60406,75457,12795
2015-11-05,67524,78157,26760
2015-11-06,40382,178140,40098
2015-11-07,28781,297809,52566
2015-11-08,68161,269237,47849
2015-11-09,33545,513286,65404
2015-11-10,33652,519766,67001
2015-11-11,44772,317393,67615
2015-11-12,47088,225160,58501
2015-11-13,36628,405356,63511
2015-11-14,41391,516690,59142
2015-11-15,21279,508145,22642
2015-11-16,45787,376464,57434
2015-11-17,15270,443812,49805
2015-11-18,42716,630830,58294
2015-11-19,30484,600817,53469
2015-11-20,12020,274666,31486
2015-11-21,28131,156477,39171
2015-11-22,22312,241015,54031
2015-11-23,26796,124791,31134
2015-11-24,37326,352687,55461
2015-11-25,11466,148665,26601
2015-11-26,23362,71969,25391
2015-11-27,32101,188559,60428
2015-11-28,17985,430996,63209
2015-11-29,7669,645215,51422
2015-11-30,11927,552236,44924
2015-12-01,14226,356509,46932
2015-12-02,11215,285696,58580
2015-12-03,32060,222185,57980
2015-12-04,18360,449631,60308
2015-12-05,37128,537342,47387
2015-12-06,39066,547740,41889
2015-12-07,37846,103531,12349
2015-12-08,42706,187291,29149
2015-12-09,21604,246415,33577
2015-12-10,38635,348956,34780
2015-12-11,21610,468028,51460
2015-12-12,25050,374303,47942
2015-12-13,23286,265609,22481
2015-12-14,27409,91125,18884
2015-12-15,18889,64439,17440
2015-12-16,11902,200992,52010
2015-12-17,14894,289965,58177
2015-12-18,13019,269714,58309
2015-12-19,28491,253939,61441
2015-12-20,31769,305478,65408
2015-12-21,13837,522496,60888
2015-12-22,26539,576733,61776
2015-12-23,28189,489011,63039
2015-12-24,36869,386639,63847
2015-12-25,32056,361513,58993
2015-12-26,43836,551345,57030
2015-12-27,38624,390049,50349
2015-12-28,41697,165534,40655
2015-12-29,32623,250692,54230
2015-12-30,27269,260869,55811
2015-12-31,20226,246764,59689
2016-01-01,18562,86844,20362
2016-01-02,9403,344295,65321
2016-01-03,13519,343441,62854
2016-01-04,10080,214706,63753
2016-01-05,12550,144357,62108
2016-01-06,12591,93727,62318
2016-01-07,14636,249385,64215
2016-01-08,40972,419293,41581
2016-01-09,23890,167080,38550
2016-01-10,18898,286393,58084
2016-01-11,10178,170220,29658
2016-01-12,15134,283858,25298
2016-01-13,12163,314510,26287
2016-01-14,44550,210375,26552
2016-01-15,8690,131899,18673
2016-01-16,8773,113406,28328
2016-01-17,8731,82933,20413
2016-01-18,19422,60048,29916
2016-01-19,20782,131502,38075
2016-01-20,14240,101605,13084
2016-01-21,19336,30802,16427
2016-01-22,35198,158518,48261
2016-01-23,10633,242566,37271
2016-01-24,17407,199643,57051
2016-01-25,33783,250052,56476
2016-01-26,41685,422311,62355
2016-01-27,24515,602680,56879
2016-01-28,36616,399082,64689
2016-01-29,49518,586575,63766
2016-01-30,27900,608651,65159
2016-01-31,19956,432680,57347
2016-02-01,14782,517900,49917
2016-02-02,25385,647457,48367
2016-02-03,30858,472801,62169
2016-02-04,15194,328538,35870
2016-02-05,22661,222029,47976
2016-02-06,60224,347851,64274
2016-02-07,38073,449875,66091
2016-02-08,32279,686321,65335
2016-02-09,22971,568717,45651
2016-02-10,28391,368737,34122
2016-02-11,44044,294109,27112
2016-02-12,66407,81226,3262
2016-02-13,49371,141113,28807
2016-02-14,26907,214387,66020
2016-02-15,23473,172017,41606
2016-02-16,47476,63632,14029
2016-02-17,44221,154010,43763
2016-02-18,63591,56763,24915
2016-02-19,35427,95106,29285
2016-02-20,17517,538036,69047
2016-02-21,22521,585831,55946
2016-02-22,49993,472810,65692
2016-02-23,37724,233976,60014
2016-02-24,74176,206220,45526
2016-02-25,60549,131847,33444
2016-02-26,77858,78276,9874
2016-02-27,110024,114237,751
2016-02-28,71204,180431,7214
2016-02-29,42625,240013,5903
2016-03-01,47753,194683,52681
2016-03-02,33768,330406,29469
2016-03-03,52007,96088,9400
2016-03-04,74040,243609,38777
2016-03-05,41605,70706,13274
2016-03-06,49202,110080,11262
2016-03-07,72460,49480,8938
2016-03-08,76197,61157,12560
2016-03-09,119005,201356,40742
2016-03-10,96564,105940,20150
2016-03-11,67947,84982,8180
2016-03-12,62819,83190,5517
2016-03-13,60254,132946,3093
